echo,condition
6.23E-05,Rhythm
6.95E-05,Rhythm
5.04E-05,Rhythm
5.78E-05,Rhythm
6.93E-05,Rhythm
6.37E-05,Rhythm
6.95E-05,Rhythm
5.68E-05,Rhythm
5.74E-05,Rhythm
6.14E-05,Rhythm
4.73E-05,Rhythm
4.87E-05,Rhythm
7.58E-05,Rhythm
7.24E-05,Rhythm
6.44E-05,Rhythm
6.92E-05,Rhythm
4.80E-05,Rhythm
6.75E-05,Rhythm
6.71E-05,Rhythm
5.82E-05,Rhythm
5.26E-05,Rhythm
5.77E-05,Rhythm
5.63E-05,Rhythm
6.07E-05,Rhythm
6.26E-05,Rhythm
6.03E-05,Rhythm
5.88E-05,Rhythm
5.99E-05,Rhythm
7.63E-05,Rhythm
6.01E-05,Rhythm
5.85E-05,Rhythm
8.13E-05,Rhythm
5.89E-05,Rhythm
5.92E-05,Rhythm
7.17E-05,Rhythm
7.72E-05,Rhythm
4.91E-05,Rhythm
6.57E-05,Rhythm
8.44E-05,Rhythm
6.29E-05,Rhythm
6.45E-05,Rhythm
5.88E-05,Rhythm
6.17E-05,Rhythm
6.36E-05,Rhythm
6.68E-05,Rhythm
6.97E-05,Rhythm
5.50E-05,Rhythm
6.21E-05,Rhythm
6.72E-05,Rhythm
5.67E-05,Rhythm
6.00E-05,Rhythm
6.19E-05,Rhythm
5.76E-05,Rhythm
5.77E-05,Rhythm
5.77E-05,Rhythm
5.00E-05,Rhythm
7.86E-05,Rhythm
7.16E-05,Rhythm
7.15E-05,Rhythm
5.57E-05,Rhythm
6.85E-05,Rhythm
4.99E-05,Rhythm
7.84E-05,Rhythm
6.72E-05,Rhythm
5.11E-05,Rhythm
6.23E-05,Rhythm
7.48E-05,Rhythm
8.25E-05,Rhythm
5.51E-05,Rhythm
5.57E-05,Rhythm
7.36E-05,Rhythm
5.79E-05,Rhythm
7.15E-05,Rhythm
6.87E-05,Rhythm
5.08E-05,Rhythm
4.79E-05,Rhythm
7.44E-05,Rhythm
6.46E-05,Rhythm
6.37E-05,Rhythm
6.49E-05,Rhythm
5.48E-05,Rhythm
5.55E-05,Rhythm
7.64E-05,Rhythm
6.13E-05,Rhythm
6.14E-05,Rhythm
6.75E-05,Rhythm
5.50E-05,Rhythm
6.33E-05,Rhythm
6.22E-05,Rhythm
6.09E-05,Rhythm
6.50E-05,Rhythm
6.25E-05,Rhythm
6.92E-05,Rhythm
6.06E-05,Rhythm
7.50E-05,Rhythm
7.75E-05,Rhythm
7.18E-05,Rhythm
5.64E-05,Rhythm
5.89E-05,Rhythm
6.05E-05,Rhythm
6.85E-05,Rhythm
5.88E-05,Rhythm
6.42E-05,Rhythm
5.46E-05,Rhythm
7.66E-05,Rhythm
6.11E-05,Rhythm
6.91E-05,Rhythm
5.66E-05,Rhythm
6.78E-05,Rhythm
5.99E-05,Rhythm
5.40E-05,Rhythm
6.63E-05,Rhythm
6.91E-05,Rhythm
5.09E-05,Rhythm
6.84E-05,Rhythm
4.46E-05,Rhythm
6.43E-05,Rhythm
6.80E-05,Rhythm
5.40E-05,Rhythm
6.41E-05,Rhythm
6.07E-05,Rhythm
5.90E-05,Rhythm
6.48E-05,Rhythm
6.00E-05,Rhythm
6.10E-05,Rhythm
5.19E-05,Rhythm
7.07E-05,Rhythm
6.94E-05,Rhythm
5.44E-05,Rhythm
7.90E-05,Rhythm
5.76E-05,Rhythm
7.82E-05,Rhythm
6.14E-05,Rhythm
5.22E-05,Rhythm
6.82E-05,Rhythm
6.99E-05,Rhythm
7.04E-05,Rhythm
6.91E-05,Rhythm
6.89E-05,Rhythm
5.90E-05,Rhythm
5.74E-05,Rhythm
5.71E-05,Rhythm
5.76E-05,Rhythm
6.12E-05,Rhythm
7.83E-05,Rhythm
7.64E-05,Rhythm
5.36E-05,Rhythm
5.64E-05,Rhythm
6.70E-05,Rhythm
6.54E-05,Rhythm
5.20E-05,Rhythm
6.80E-05,Rhythm
5.17E-05,Rhythm
5.79E-05,Rhythm
6.97E-05,Rhythm
5.71E-05,Rhythm
6.61E-05,Rhythm
6.20E-05,Rhythm
5.67E-05,Rhythm
6.15E-05,Rhythm
6.84E-05,Rhythm
7.20E-05,Rhythm
6.86E-05,Rhythm
6.64E-05,Rhythm
6.14E-05,Rhythm
5.82E-05,Rhythm
6.61E-05,Rhythm
5.83E-05,Rhythm
5.85E-05,Rhythm
5.68E-05,Rhythm
7.61E-05,Rhythm
5.53E-05,Rhythm
5.80E-05,Rhythm
7.25E-05,Rhythm
5.32E-05,Rhythm
5.22E-05,Rhythm
7.47E-05,Rhythm
7.27E-05,Rhythm
6.00E-05,Rhythm
6.52E-05,Rhythm
6.84E-05,Rhythm
4.69E-05,Rhythm
6.32E-05,Rhythm
5.78E-05,Rhythm
6.11E-05,Rhythm
7.37E-05,Rhythm
7.57E-05,Rhythm
4.54E-05,Rhythm
6.67E-05,Rhythm
5.63E-05,Rhythm
7.16E-05,Rhythm
6.71E-05,Rhythm
6.05E-05,Rhythm
6.73E-05,Rhythm
7.07E-05,Rhythm
5.64E-05,Rhythm
6.64E-05,Rhythm
5.80E-05,Rhythm
6.90E-05,Rhythm
5.75E-05,Rhythm
6.96E-05,Rhythm
5.95E-05,Rhythm
5.96E-05,Rhythm
6.11E-05,Rhythm
5.14E-05,Rhythm
6.33E-05,Rhythm
7.03E-05,Rhythm
8.23E-05,Rhythm
5.91E-05,Rhythm
4.50E-05,Rhythm
6.46E-05,Rhythm
6.58E-05,Rhythm
6.66E-05,Rhythm
7.15E-05,Rhythm
6.22E-05,Rhythm
6.53E-05,Rhythm
5.32E-05,Rhythm
6.07E-05,Rhythm
7.12E-05,Rhythm
6.76E-05,Rhythm
7.67E-05,Rhythm
5.66E-05,Rhythm
6.02E-05,Rhythm
6.65E-05,Rhythm
6.05E-05,Rhythm
6.45E-05,Rhythm
5.69E-05,Rhythm
7.49E-05,Rhythm
5.85E-05,Rhythm
6.05E-05,Rhythm
6.37E-05,Rhythm
7.30E-05,Rhythm
6.48E-05,Rhythm
6.05E-05,Rhythm
6.38E-05,Rhythm
4.49E-05,Rhythm
6.12E-05,Rhythm
5.94E-05,Rhythm
5.72E-05,Rhythm
5.17E-05,Rhythm
5.54E-05,Rhythm
6.35E-05,Rhythm
6.20E-05,Rhythm
5.23E-05,Rhythm
6.81E-05,Rhythm
6.30E-05,Rhythm
6.39E-05,Rhythm
7.05E-05,Rhythm
7.29E-05,Rhythm
7.80E-05,Rhythm
5.70E-05,Rhythm
5.77E-05,Rhythm
5.68E-05,Rhythm
6.59E-05,Rhythm
6.88E-05,Rhythm
6.25E-05,Rhythm
5.82E-05,Rhythm
6.46E-05,Rhythm
6.64E-05,Rhythm
4.46E-05,Rhythm
6.32E-05,Rhythm
6.57E-05,Rhythm
5.80E-05,Rhythm
7.55E-05,Rhythm
5.11E-05,Rhythm
6.46E-05,Rhythm
5.88E-05,Rhythm
6.36E-05,Rhythm
8.05E-05,Rhythm
6.50E-05,Rhythm
7.05E-05,Rhythm
5.64E-05,Rhythm
5.96E-05,Rhythm
6.50E-05,Rhythm
6.13E-05,Rhythm
6.51E-05,Rhythm
6.69E-05,Rhythm
6.13E-05,Rhythm
6.34E-05,Rhythm
6.22E-05,Rhythm
5.93E-05,Rhythm
5.76E-05,Rhythm
7.48E-05,Rhythm
7.65E-05,Rhythm
6.56E-05,Rhythm
6.19E-05,Rhythm
6.75E-05,Rhythm
6.19E-05,Rhythm
7.40E-05,Rhythm
5.05E-05,Rhythm
6.35E-05,Rhythm
7.92E-05,Rhythm
8.00E-05,Rhythm
6.56E-05,Rhythm
7.14E-05,Rhythm
6.52E-05,Rhythm
6.07E-05,Rhythm
6.86E-05,Rhythm
6.41E-05,Rhythm
6.75E-05,Rhythm
6.23E-05,Rhythm
6.47E-05,Rhythm
7.29E-05,Rhythm
6.04E-05,Rhythm
5.02E-05,Rhythm
6.61E-05,Rhythm
5.44E-05,Rhythm
6.15E-05,Rhythm
6.02E-05,Rhythm
6.45E-05,Rhythm
6.80E-05,Rhythm
5.88E-05,Rhythm
5.33E-05,Rhythm
6.25E-05,Rhythm
6.90E-05,Rhythm
6.42E-05,Rhythm
5.71E-05,Rhythm
7.15E-05,Rhythm
6.26E-05,Rhythm
5.81E-05,Rhythm
7.60E-05,Rhythm
5.72E-05,Rhythm
5.90E-05,Rhythm
6.29E-05,Rhythm
7.12E-05,Rhythm
5.57E-05,Rhythm
7.71E-05,Rhythm
5.24E-05,Rhythm
6.22E-05,Rhythm
7.66E-05,Rhythm
5.38E-05,Rhythm
7.32E-05,Rhythm
8.05E-05,Rhythm
6.34E-05,Rhythm
6.82E-05,Rhythm
5.36E-05,Rhythm
5.71E-05,Rhythm
5.35E-05,Rhythm
6.13E-05,Rhythm
7.03E-05,Rhythm
5.11E-05,Rhythm
6.70E-05,Rhythm
6.44E-05,Rhythm
6.81E-05,Rhythm
5.99E-05,Rhythm
5.49E-05,Rhythm
6.20E-05,Rhythm
6.91E-05,Rhythm
6.87E-05,Rhythm
7.22E-05,Rhythm
5.80E-05,Rhythm
5.55E-05,Rhythm
6.51E-05,Rhythm
6.02E-05,Rhythm
8.52E-05,Rhythm
5.23E-05,Rhythm
5.53E-05,Rhythm
5.94E-05,Rhythm
5.36E-05,Rhythm
6.57E-05,Rhythm
7.34E-05,Rhythm
5.78E-05,Rhythm
7.91E-05,Rhythm
5.81E-05,Rhythm
7.53E-05,Rhythm
6.42E-05,Rhythm
5.88E-05,Rhythm
6.37E-05,Rhythm
7.62E-05,Rhythm
6.30E-05,Rhythm
6.03E-05,Rhythm
4.51E-05,Rhythm
5.34E-05,Rhythm
5.26E-05,Rhythm
4.78E-05,Rhythm
6.07E-05,Rhythm
7.73E-05,Rhythm
5.34E-05,Rhythm
5.47E-05,Rhythm
6.32E-05,Rhythm
6.56E-05,Rhythm
5.18E-05,Rhythm
6.56E-05,Rhythm
6.44E-05,Rhythm
7.08E-05,Rhythm
6.56E-05,Rhythm
5.64E-05,Rhythm
5.44E-05,Rhythm
5.42E-05,Rhythm
4.98E-05,Rhythm
6.40E-05,Rhythm
5.45E-05,Rhythm
5.60E-05,Rhythm
5.86E-05,Rhythm
7.60E-05,Rhythm
4.49E-05,Rhythm
5.43E-05,Rhythm
5.71E-05,Rhythm
7.37E-05,Rhythm
6.23E-05,Rhythm
6.96E-05,Rhythm
6.59E-05,Rhythm
7.02E-05,Rhythm
6.30E-05,Rhythm
5.46E-05,Rhythm
4.96E-05,Rhythm
6.26E-05,Rhythm
6.78E-05,Rhythm
5.89E-05,Rhythm
6.55E-05,Rhythm
7.22E-05,Rhythm
6.31E-05,Rhythm
5.31E-05,Rhythm
6.04E-05,Rhythm
5.02E-05,Rhythm
7.12E-05,Rhythm
5.45E-05,Rhythm
6.07E-05,Rhythm
6.89E-05,Rhythm
6.49E-05,Rhythm
6.45E-05,Rhythm
6.77E-05,Rhythm
5.38E-05,Rhythm
5.91E-05,Rhythm
5.83E-05,Rhythm
5.72E-05,Rhythm
5.87E-05,Rhythm
7.42E-05,Rhythm
6.23E-05,Rhythm
6.27E-05,Rhythm
5.01E-05,Rhythm
6.99E-05,Rhythm
6.03E-05,Rhythm
4.86E-05,Rhythm
4.86E-05,Rhythm
6.33E-05,Rhythm
7.51E-05,Rhythm
6.04E-05,Rhythm
5.71E-05,Rhythm
6.87E-05,Rhythm
6.72E-05,Rhythm
7.15E-05,Rhythm
6.64E-05,Rhythm
5.68E-05,Rhythm
7.89E-05,Rhythm
5.72E-05,Rhythm
6.69E-05,Rhythm
5.78E-05,Rhythm
6.17E-05,Rhythm
5.79E-05,Rhythm
5.41E-05,Rhythm
6.06E-05,Rhythm
6.94E-05,Rhythm
6.06E-05,Rhythm
5.39E-05,Rhythm
6.45E-05,Rhythm
4.73E-05,Rhythm
7.47E-05,Rhythm
5.85E-05,Rhythm
5.56E-05,Rhythm
6.08E-05,Rhythm
7.21E-05,Rhythm
6.31E-05,Rhythm
6.39E-05,Rhythm
5.85E-05,Rhythm
6.34E-05,Rhythm
6.38E-05,Rhythm
4.94E-05,Rhythm
5.13E-05,Rhythm
7.25E-05,Rhythm
5.29E-05,Rhythm
8.34E-05,Rhythm
4.87E-05,Rhythm
6.01E-05,Rhythm
5.39E-05,Rhythm
5.67E-05,Rhythm
7.28E-05,Rhythm
6.74E-05,Rhythm
6.48E-05,Rhythm
7.51E-05,Rhythm
7.37E-05,Rhythm
5.23E-05,Rhythm
5.16E-05,Rhythm
5.82E-05,Rhythm
8.25E-05,Rhythm
6.41E-05,Rhythm
7.49E-05,Rhythm
5.71E-05,Rhythm
6.89E-05,Rhythm
6.41E-05,Rhythm
6.43E-05,Rhythm
6.29E-05,Rhythm
5.55E-05,Rhythm
5.17E-05,Rhythm
5.78E-05,Rhythm
8.54E-05,Rhythm
4.40E-05,Rhythm
7.74E-05,Rhythm
5.02E-05,Rhythm
6.46E-05,Rhythm
6.47E-05,Rhythm
5.68E-05,Rhythm
5.77E-05,Rhythm
4.36E-05,Rhythm
6.40E-05,Rhythm
6.06E-05,Rhythm
5.97E-05,Rhythm
5.84E-05,Rhythm
6.49E-05,Rhythm
7.68E-05,Rhythm
5.51E-05,Rhythm
6.48E-05,Rhythm
5.66E-05,Rhythm
7.15E-05,Rhythm
7.17E-05,Rhythm
5.31E-05,Rhythm
6.62E-05,Rhythm
6.00E-05,Rhythm
7.74E-05,Rhythm
7.33E-05,Rhythm
6.19E-05,Rhythm
7.83E-05,Rhythm
7.62E-05,Rhythm
5.56E-05,Rhythm
5.38E-05,Rhythm
6.53E-05,Rhythm
6.65E-05,Rhythm
7.71E-05,Rhythm
6.78E-05,Rhythm
5.22E-05,Rhythm
6.65E-05,Rhythm
7.12E-05,Rhythm
6.77E-05,Rhythm
5.90E-05,Rhythm
5.81E-05,Rhythm
5.86E-05,Rhythm
5.89E-05,Rhythm
6.62E-05,Rhythm
6.12E-05,Rhythm
6.42E-05,Rhythm
7.65E-05,Rhythm
7.34E-05,Rhythm
6.25E-05,Rhythm
5.84E-05,Rhythm
7.65E-05,Rhythm
7.72E-05,Rhythm
6.27E-05,Rhythm
7.56E-05,Rhythm
6.39E-05,Rhythm
5.39E-05,Rhythm
6.31E-05,Rhythm
4.22E-05,Rhythm
7.48E-05,Rhythm
5.91E-05,Rhythm
7.17E-05,Rhythm
6.08E-05,Rhythm
5.60E-05,Rhythm
6.69E-05,Rhythm
6.46E-05,Rhythm
7.82E-05,Rhythm
6.60E-05,Rhythm
4.78E-05,Rhythm
7.78E-05,Rhythm
6.52E-05,Rhythm
6.89E-05,Rhythm
7.55E-05,Rhythm
5.39E-05,Rhythm
5.62E-05,Rhythm
6.12E-05,Rhythm
6.85E-05,Rhythm
5.48E-05,Rhythm
6.73E-05,Rhythm
7.79E-05,Rhythm
6.64E-05,Rhythm
7.62E-05,Rhythm
6.16E-05,Rhythm
5.27E-05,Rhythm
6.68E-05,Rhythm
6.15E-05,Rhythm
6.91E-05,Rhythm
6.61E-05,Rhythm
4.91E-05,Rhythm
5.27E-05,Rhythm
5.87E-05,Rhythm
7.33E-05,Rhythm
5.85E-05,Rhythm
6.24E-05,Rhythm
5.49E-05,Rhythm
7.57E-05,Rhythm
5.36E-05,Rhythm
7.21E-05,Rhythm
5.37E-05,Rhythm
7.21E-05,Rhythm
6.99E-05,Rhythm
6.33E-05,Rhythm
8.02E-05,Rhythm
6.23E-05,Rhythm
5.81E-05,Rhythm
8.16E-05,Rhythm
8.21E-05,Rhythm
6.85E-05,Rhythm
5.59E-05,Rhythm
6.36E-05,Rhythm
6.20E-05,Rhythm
6.41E-05,Rhythm
6.17E-05,Rhythm
5.94E-05,Rhythm
6.04E-05,Rhythm
5.47E-05,Rhythm
6.26E-05,Rhythm
6.00E-05,Rhythm
8.00E-05,Rhythm
6.00E-05,Rhythm
7.83E-05,Rhythm
4.17E-05,Rhythm
6.91E-05,Rhythm
7.88E-05,Rhythm
7.24E-05,Rhythm
7.43E-05,Rhythm
6.88E-05,Rhythm
6.95E-05,Rhythm
5.44E-05,Rhythm
5.37E-05,Rhythm
5.42E-05,Rhythm
5.70E-05,Rhythm
6.72E-05,Rhythm
7.66E-05,Rhythm
6.59E-05,Rhythm
5.76E-05,Rhythm
5.46E-05,Rhythm
6.40E-05,Rhythm
6.15E-05,Rhythm
6.90E-05,Rhythm
6.30E-05,Rhythm
5.16E-05,Rhythm
6.40E-05,Rhythm
4.81E-05,Rhythm
7.14E-05,Rhythm
6.88E-05,Rhythm
4.48E-05,Rhythm
7.30E-05,Rhythm
7.13E-05,Rhythm
4.17E-05,Rhythm
6.03E-05,Rhythm
6.88E-05,Rhythm
5.23E-05,Rhythm
6.33E-05,Rhythm
7.68E-05,Rhythm
5.29E-05,Rhythm
5.84E-05,Rhythm
6.68E-05,Rhythm
4.59E-05,Rhythm
5.59E-05,Rhythm
4.70E-05,Rhythm
5.38E-05,Rhythm
5.53E-05,Rhythm
7.26E-05,Rhythm
6.40E-05,Rhythm
6.27E-05,Rhythm
6.31E-05,Rhythm
7.07E-05,Rhythm
7.05E-05,Rhythm
7.09E-05,Rhythm
5.35E-05,Rhythm
5.97E-05,Rhythm
6.01E-05,Rhythm
5.47E-05,Rhythm
6.36E-05,Rhythm
4.88E-05,Rhythm
8.16E-05,Rhythm
7.75E-05,Rhythm
6.81E-05,Rhythm
6.05E-05,Rhythm
7.73E-05,Rhythm
5.30E-05,Rhythm
6.36E-05,Rhythm
6.23E-05,Rhythm
5.49E-05,Rhythm
6.59E-05,Rhythm
6.80E-05,Rhythm
5.73E-05,Rhythm
7.31E-05,Rhythm
5.64E-05,Rhythm
6.31E-05,Rhythm
6.65E-05,Rhythm
4.89E-05,Rhythm
5.42E-05,Rhythm
6.27E-05,Rhythm
5.46E-05,Rhythm
6.07E-05,Rhythm
6.20E-05,Rhythm
6.65E-05,Rhythm
5.78E-05,Rhythm
7.66E-05,Rhythm
6.89E-05,Rhythm
6.66E-05,Rhythm
7.69E-05,Rhythm
5.55E-05,Rhythm
6.06E-05,Rhythm
7.35E-05,Rhythm
5.98E-05,Rhythm
6.01E-05,Rhythm
6.14E-05,Rhythm
6.72E-05,Rhythm
5.53E-05,Rhythm
5.52E-05,Rhythm
6.00E-05,Rhythm
6.22E-05,Rhythm
6.00E-05,Rhythm
5.89E-05,Rhythm
6.08E-05,Rhythm
5.52E-05,Rhythm
6.38E-05,Rhythm
6.64E-05,Rhythm
6.86E-05,Rhythm
